fund,fund_ticker,yahoo_ticker,name
GSLC,CLX,CLX,Clorox Co
GSLC,CMCSA,CMCSA,Comcast Corp
GSLC,CME,CME,CME Group Inc
GSLC,CMG,CMG,Chipotle Mexican Grill Inc
GSLC,CMI,CMI,Cummins Inc
GSLC,CMS,CMS,CMS Energy Corp
GSLC,CNC,CNC,Centene Corp
GSLC,CNP,CNP,CenterPoint Energy Inc
GSLC,COF,COF,Capital One Financial Corp
GSLC,COIN,COIN,Coinbase Global Inc
GSLC,COO,COO,Cooper Cos Inc
GSLC,COP,COP,ConocoPhillips
GSLC,COST,COST,Costco Wholesale Corp
GSLC,CPRT,CPRT,Copart Inc
GSLC,CPT,CPT,Camden Property Trust
GSLC,CRL,CRL,Charles River Laboratories International Inc
GSLC,CRM,CRM,Salesforce Inc
GSLC,CRWD,CRWD,Crowdstrike Holdings Inc
GSLC,CSCO,CSCO,Cisco Systems Inc
GSLC,CSL,CSL,Carlisle Cos Inc
GSLC,CSX,CSX,CSX Corp
GSLC,CTAS,CTAS,Cintas Corp
GSLC,CTRA,CTRA,Coterra Energy Inc
GSLC,CTSH,CTSH,Cognizant Technology Solutions Corp
GSLC,CTVA,CTVA,Corteva Inc
GSLC,CVS,CVS,CVS Health Corp
GSLC,CVX,CVX,Chevron Corp
GSLC,CZR,CZR,Caesars Entertainment Inc
GSLC,D,D,Dominion Energy Inc
GSLC,DAR,DAR,Darling Ingredients Inc
GSLC,DD,DD,DuPont de Nemours Inc
GSLC,DDOG,DDOG,Datadog Inc
GSLC,DE,DE,Deere & Co
GSLC,DELL,DELL,Dell Technologies Inc
GSLC,DFS,DFS,Discover Financial Services
GSLC,DG,DG,Dollar General Corp
GSLC,DGX,DGX,Quest Diagnostics Inc
GSLC,DHI,DHI,DR Horton Inc
GSLC,DHR,DHR,Danaher Corp
GSLC,DIS,DIS,Walt Disney Co
GSLC,DLR,DLR,Digital Realty Trust Inc
GSLC,DLTR,DLTR,Dollar Tree Inc
GSLC,DOCU,DOCU,DocuSign Inc
GSLC,DOV,DOV,Dover Corp
GSLC,DOW,DOW,Dow Inc
GSLC,DPZ,DPZ,Dominos Pizza Inc
GSLC,DRE,DRE,Duke Realty Corp
GSLC,DRI,DRI,Darden Restaurants Inc
GSLC,DTE,DTE,DTE Energy Co
GSLC,DUK,DUK,Duke Energy Corp
GSLC,DVN,DVN,Devon Energy Corp
GSLC,DXCM,DXCM,Dexcom Inc
GSLC,EA,EA,Electronic Arts Inc
GSLC,EBAY,EBAY,eBay Inc
GSLC,ECL,ECL,Ecolab Inc
GSLC,ED,ED,Consolidated Edison Inc
GSLC,EFX,EFX,Equifax Inc
GSLC,EIX,EIX,Edison International
GSLC,EL,EL,Estee Lauder Cos Inc
GSLC,ELV,ELV,Elevance Health Inc
GSLC,EMN,EMN,Eastman Chemical Co
GSLC,EMR,EMR,Emerson Electric Co
GSLC,ENPH,ENPH,Enphase Energy Inc
GSLC,ENTG,ENTG,Entegris Inc
GSLC,EOG,EOG,EOG Resources Inc
GSLC,EPAM,EPAM,EPAM Systems Inc
GSLC,EQIX,EQIX,Equinix Inc
GSLC,EQR,EQR,Equity Residential
GSLC,EQT,EQT,EQT Corp
GSLC,ES,ES,Eversource Energy
GSLC,ESS,ESS,Essex Property Trust Inc
GSLC,ETN,ETN,Eaton Corp PLC
GSLC,ETR,ETR,Entergy Corp
GSLC,ETSY,ETSY,Etsy Inc
GSLC,EVRG,EVRG,Evergy Inc
GSLC,EW,EW,Edwards Lifesciences Corp
GSLC,EXC,EXC,Exelon Corp
GSLC,EXPD,EXPD,Expeditors International of Washington Inc
GSLC,EXPE,EXPE,Expedia Group Inc
GSLC,EXR,EXR,Extra Space Storage Inc
GSLC,F,F,Ford Motor Co
GSLC,FANG,FANG,Diamondback Energy Inc
GSLC,FAST,FAST,Fastenal Co
GSLC,FDS,FDS,FactSet Research Systems Inc
GSLC,FDX,FDX,FedEx Corp
GSLC,FE,FE,FirstEnergy Corp
GSLC,FHN,FHN,First Horizon Corp
GSLC,FIS,FIS,Fidelity National Information Services Inc
GSLC,FISV,FISV,Fiserv Inc
GSLC,FLT,FLT,FleetCor Technologies Inc
GSLC,FMC,FMC,FMC Corp
GSLC,FRC,FRC,First Republic Bank
